Prediction Date,Detection Date,Strength,Number of AR detected
2014-01-01,2014-01-01,0.0,2.0
2014-01-02,2014-01-02,0.0,1.0
2014-01-03,2014-01-03,730.4,0.0
2014-01-04,2014-01-04,0.0,0.0
2014-01-05,2014-01-05,0.0,0.0
2014-01-06,2014-01-06,253.1,0.0
2014-01-07,2014-01-07,0.0,1.0
2014-01-08,2014-01-08,0.0,0.0
2014-01-09,2014-01-09,623.5833333333334,1.0
2014-01-10,2014-01-10,0.0,0.0
2014-01-11,2014-01-11,0.0,0.0
2014-01-12,2014-01-12,0.0,1.0
2014-01-13,2014-01-13,0.0,0.0
2014-01-14,2014-01-14,0.0,0.0
2014-01-15,2014-01-15,0.0,0.0
2014-01-16,2014-01-16,1493.909090909091,0.0
2014-01-17,2014-01-17,0.0,0.0
2014-01-18,2014-01-18,1087.2380952380952,1.0
2014-01-19,2014-01-19,0.0,2.0
2014-01-20,2014-01-20,328.4,0.0
2014-01-21,2014-01-21,0.0,0.0
2014-01-22,2014-01-22,0.0,1.0
2014-01-23,2014-01-23,0.0,1.0
2014-01-24,2014-01-24,0.0,0.0
2014-01-25,2014-01-25,0.0,0.0
2014-01-26,2014-01-26,0.0,0.0
2014-01-27,2014-01-27,143.75,0.0
2014-01-28,2014-01-28,2836.826086956521,2.0
2014-01-29,2014-01-29,0.0,0.0
2014-01-30,2014-01-30,0.0,0.0
2014-01-31,2014-01-31,0.0,0.0
2014-02-01,2014-02-01,0.0,0.0
2014-02-02,2014-02-02,0.0,0.0
2014-02-03,2014-02-03,0.0,0.0
2014-02-04,2014-02-04,0.0,0.0
2014-02-05,2014-02-05,0.0,1.0
2014-02-06,2014-02-06,0.0,2.0
2014-02-07,2014-02-07,0.0,0.0
2014-02-08,2014-02-08,0.0,0.0
2014-02-09,2014-02-09,0.0,1.0
2014-02-10,2014-02-10,505.1,0.0
2014-02-11,2014-02-11,288.2,1.0
2014-02-12,2014-02-12,0.0,0.0
2014-02-13,2014-02-13,0.0,0.0
2014-02-14,2014-02-14,0.0,0.0
2014-02-15,2014-02-15,237.7692307692308,0.0
2014-02-16,2014-02-16,0.0,0.0
2014-02-17,2014-02-17,0.0,0.0
2014-02-18,2014-02-18,0.0,2.0
2014-02-19,2014-02-19,654.6666666666666,0.0
