InicioSemana,Strength,Number of AR detected,dB
2013-12-30,730.4,3.0,430.3027771232717
2014-01-06,876.6833333333334,3.0,238.1740487542671
2014-01-13,2581.1471861471864,3.0,437.54608924976355
2014-01-20,656.15,2.0,215.4464376591082
2014-01-27,2980.576086956521,2.0,648.0834600540675
2014-02-03,0.0,4.0,0.0
2014-02-10,1031.069230769231,1.0,179.05313696773973
2014-02-17,654.6666666666666,4.0,234.029226833628
2014-02-24,856.64,4.0,193.4622898654929
2014-03-03,2438.1916666666666,2.0,410.0229122154842
2014-03-10,1481.8809523809523,4.0,261.65719456066273
2014-03-17,1663.9418476260582,5.0,261.3423010352716
2014-03-24,1145.0059523809523,1.0,205.47824457189367
2014-03-31,1848.842857142857,4.0,283.19940199886895
2014-04-07,1422.2428571428572,4.0,273.9345108314938
2014-04-14,1194.5119047619048,2.0,232.61042655955404
2014-04-21,794.2941176470588,1.0,202.1350597566988
2014-04-28,0.0,2.0,0.0
2014-05-05,3731.608695652174,5.0,573.1578790273369
2014-05-12,847.1875,2.0,250.35506816569543
2014-05-19,1954.721316425121,3.0,319.55398944402475
2014-05-26,334.6666666666667,1.0,103.40844044639468
2014-06-02,2757.6,2.0,690.5080882944095
2014-06-09,1262.1739130434785,3.0,287.8992025877488
2014-06-16,2107.0588235294117,2.0,403.2962368672441
2014-06-23,538.85,4.0,316.7821451723566
2014-06-30,5591.821428571428,5.0,1046.4687097271462
2014-07-07,2142.695804195804,2.0,393.5207480373799
2014-07-14,1297.7894736842106,0.0,347.82290842218646
2014-07-21,2605.05,3.0,469.60535621564173
2014-07-28,4688.699047619048,7.0,818.15763534315
2014-08-04,0.0,1.0,0.0
2014-08-11,1226.9727272727273,4.0,321.47337036096735
2014-08-18,2282.1153846153848,4.0,513.4996715888857
2014-08-25,1775.0975877192982,1.0,292.30519873218367
2014-09-01,1452.0454545454545,5.0,354.04930611007387
2014-09-08,2374.097619047619,3.0,420.36141434223055
2014-09-15,2861.291666666667,5.0,515.2983083942283
2014-09-22,3061.913234913235,2.0,463.78727021562594
2014-09-29,2862.994318181818,2.0,575.1039812613498
2014-10-06,3789.011851851852,2.0,586.7482763832231
2014-10-13,7884.132795698925,1.0,1528.4689416262124
2014-10-20,5237.325757575758,4.0,836.8859145373735
2014-10-27,1739.1133333333332,1.0,421.7985825275166
2014-11-03,6831.358333333334,2.0,1072.993387062826
2014-11-10,6849.60119047619,2.0,1208.5744688874804
2014-11-17,3596.508009153318,2.0,678.8320795363002
2014-11-24,7786.695511767925,4.0,1132.407551921252
2014-12-01,4179.475555555556,3.0,609.3627667824321
2014-12-08,7320.826262626262,4.0,1343.6065250152833
2014-12-15,4932.7231146304675,2.0,814.6298742685835
2014-12-22,7048.321428571428,6.0,997.5472650927898
2014-12-29,921.5833333333333,1.0,352.7503346718626
